,Region,Domain
363,toscana,www.gazzetta.it
364,toscana,firenze.repubblica.it
365,toscana,www.altracitta.org
366,toscana,www.ilgiornale.it
367,toscana,www.agipress.it
368,toscana,www.firenzetoday.it
369,toscana,www.nove.firenze.it
370,toscana,www.quinewsfirenze.it
371,toscana,www.firenzepost.it
372,toscana,www.ilreporter.it
373,toscana,www.ilsitodifirenze.it
374,toscana,www.altracitta.org
375,trentino,www.ladige.it
376,trentino,www.giornaletrentino.it
377,trentino,www.vitatrentina.it
378,trentino,www.lavocedeltrentino.it
379,trentino,www.questotrentino.it
380,trentino,www.trentotoday.it
381,trentino,www.altoadige.it
382,trentino,trento.virgilio.it
383,trentino,www.ildolomiti.it
384,trentino,www.stol.it
385,trentino,www.ilgazzettino.it
386,trentino,bolzano.virgilio.it
387,trentino,www.settimanalemonviso.it
388,trentino,www.vocepinerolese.it
389,trentino,pinerolo.virgilio.it
390,trentino,www.lagenda.news
391,trentino,www.valseriananews.it
392,sicilia,www.lasicilia.it
393,sicilia,www.gds.it
394,sicilia,www.gazzettadelsud.it
395,sicilia,palermocalcio.it
396,sicilia,corrieredelmezzogiorno.corriere.it
397,sicilia,palermo.repubblica.it
398,sicilia,www.centonove.it
399,sicilia,www.gazzettadelsud.it
400,sicilia,www.quotidianodisicilia.it
401,sicilia,www.girodivite.it
402,sicilia,laprovinciamessina.it
403,sicilia,www.lafrecciaverde.it
404,sicilia,www.prospettiveonline.it
405,sicilia,palermo.gds.it
406,sicilia,www.palermomania.it
407,sicilia,www.si24.it
408,sicilia,www.messinaora.it
409,sicilia,www.sicilia24h.it
410,sicilia,www.tempostretto.it
411,sicilia,www.messinaoggi.it
412,sicilia,www.normanno.com
413,sicilia,www.ilcittadinodimessina.it
414,sicilia,livesicilia.it
415,sicilia,agrigento.gds.it
416,sicilia,livesicilia.it
417,sardegna,www.lanuovasardegna.it
418,sardegna,www.unionesarda.it
419,sardegna,lanuovasardegna.gelocal.it
420,sardegna,www.gazzetta.it
421,sardegna,www.castedduonline.it
422,sardegna,www.sardegnaoggi.it
423,sardegna,sardegnareporter.it
424,sardegna,www.sardiniapost.it
425,sardegna,www.sassarinotizie.com
426,sardegna,www.ilmessaggerosardo.com
427,sardegna,sassari.virgilio.it
428,sardegna,lanuovasardegna.gelocal.it
429,sardegna,nuoro.unionesarda.it
430,sardegna,www.olbianova.it
431,sardegna,www.olbia.it
432,sardegna,www.olbianotizie.it
433,sardegna,www.aolbia.it
434,sardegna,lanuovasardegna.gelocal.it
435,sardegna,www.vistanet.it
436,sardegna,www.laprovinciadelsulcisiglesiente.com
437,sardegna,www.gazzettadelsulcis.it
438,sardegna,lanuovasardegna.gelocal.it
439,sardegna,www.lagazzetta.eu
440,sardegna,www.villacidro.info
441,sardegna,www.alguer.it
442,umbria,corrieredellumbria.corr.it
443,umbria,www.lanazione.it
444,umbria,www.lavoce.it
445,umbria,www.giornaledellumbria.it
446,umbria,www.acperugiacalcio.com
447,umbria,www.inumbria.it
448,umbria,www.perugia24.net
449,umbria,www.inumbria.it
450,umbria,www.umbriajournal.com
451,umbria,www.iltamtam.it
452,umbria,www.lagoccia.eu
453,umbria,www.ilmessaggero.it
454,umbria,tuttoggi.info
455,umbria,www.quotidianodellumbria.it
456,umbria,www.umbria24.it
457,umbria,www.giornaledellumbria.it
458,umbria,www.ternioggi.it
459,umbria,corrieredellumbria.corr.it
460,umbria,www.ilmessaggero.it
461,umbria,www.gazzettadifoligno.it
462,umbria,www.perugiaonline.net
463,umbria,"www.perugiatoday.it
"
464,valle_d_aosta,edizioni.lastampa.it
465,valle_d_aosta,www.valledaostaglocal.it
466,valle_d_aosta,lavallee.netweek.it
467,valle_d_aosta,www.gazzettamatin.com
468,valle_d_aosta,www.aostanews24.it
469,valle_d_aosta,aostasports.it
470,valle_d_aosta,www.esspress.it
471,valle_d_aosta,www.regione.vda.it
472,valle_d_aosta,www.aostacronaca.it
473,valle_d_aosta,aosta.virgilio.it
474,valle_d_aosta,lasentinella.gelocal.it
475,veneto,www.gazzettino.it
476,veneto,www.ilgazzettino.it
477,veneto,www.larena.it
478,veneto,www.messaggeroveneto.it
479,veneto,corrieredelveneto.corriere.it
480,veneto,www.nuovavenezia.it
481,veneto,www.gazzetta.it
482,veneto,www.raixevenete.net
483,veneto,www.tribunatreviso.it
484,veneto,tribunatreviso.gelocal.it
485,veneto,www.iltreviso.it
486,veneto,www.nuovavenezia.it
487,veneto,mattinopadova.gelocal.it
488,veneto,www.ilpadova.it
489,veneto,www.corrierealpi.it
490,veneto,www.ilgiornaledivicenza.it
491,veneto,labos.valtellina.net
492,veneto,www.nuovavenezia.it
493,veneto,www.ilverona.it
494,veneto,www.ilvenezia.it
495,veneto,www.ilmestre.it
496,veneto,www.ilvicenza.it
497,veneto,www.oggitreviso.it
498,veneto,www.lavitadelpopolo.it
499,veneto,www.difesapopolo.it
500,veneto,www.lazione.it
